,estado,idade,escolaridade,nível de proficiência em inglês,renda,sexo
0,MA,56,Fundamental,Intermediário,4006.29,F
1,BA,46,Superior,Básico,2423.11,M
2,AM,32,Fundamental,Intermediário,3835.69,M
3,CE,60,Superior,Básico,1870.29,M
4,SE,25,Fundamental,Avançado,3529.8,M
5,AM,38,Fundamental,Avançado,4441.57,F
6,DF,56,Médio,Intermediário,528.36,F
7,DF,36,Superior,Avançado,2203.1,F
8,PI,40,Fundamental,Básico,3577.07,F
9,AP,28,Superior,Avançado,2796.95,M
10,AC,28,Superior,Intermediário,3371.15,M
11,SC,41,Pós-graduação,Intermediário,2396.01,M
12,SP,53,Médio,Intermediário,3086.59,F
13,AM,57,Médio,Básico,2844.32,M
14,CE,41,Médio,Básico,4167.78,M
15,GO,20,Pós-graduação,Básico,3254.42,M
16,RO,39,Pós-graduação,Básico,3337.6,M
17,PA,19,Médio,Básico,2588.12,M
18,MS,41,Pós-graduação,Avançado,2512.39,F
19,SP,61,Pós-graduação,Básico,2567.44,F
20,RN,47,Pós-graduação,Básico,3394.45,F
21,SC,55,Médio,Avançado,2579.02,F
22,SP,19,Médio,Básico,3289.77,F
23,AM,38,Médio,Intermediário,5075.4,M
24,RS,50,Pós-graduação,Básico,3871.12,M
25,SC,29,Médio,Básico,2673.98,F
26,MS,39,Pós-graduação,Intermediário,4201.21,F
27,MA,61,Fundamental,Intermediário,2591.92,F
28,RO,42,Pós-graduação,Intermediário,961.88,F
29,DF,44,Superior,Intermediário,1991.91,F
30,AP,59,Médio,Básico,1129.21,F
31,RR,45,Médio,Intermediário,2648.49,F
32,PA,33,Superior,Intermediário,3018.42,F
33,SC,32,Pós-graduação,Avançado,4676.44,F
34,MA,64,Fundamental,Intermediário,3326.93,M
35,PR,61,Superior,Intermediário,2780.9,F
36,PR,20,Superior,Avançado,3829.41,F
37,RO,54,Pós-graduação,Avançado,788.86,M
38,MA,24,Médio,Básico,3235.61,F
39,SP,38,Pós-graduação,Avançado,3770.87,F
40,MG,26,Superior,Básico,1521.41,M
41,CE,56,Superior,Avançado,4143.75,F
42,MS,35,Médio,Avançado,3338.5,M
43,GO,21,Médio,Básico,2584.71,M
44,MG,42,Médio,Avançado,3632.78,M
45,AM,31,Pós-graduação,Básico,5270.69,F
46,SC,26,Médio,Avançado,3181.87,F
47,MT,43,Superior,Intermediário,3248.22,M
48,RN,19,Superior,Avançado,2540.64,M
49,PI,37,Fundamental,Básico,2150.16,F
50,SE,45,Pós-graduação,Avançado,3830.34,F
51,MT,64,Fundamental,Básico,2143.92,M
52,SP,24,Superior,Básico,3071.57,M
53,RS,61,Fundamental,Intermediário,2522.34,F
54,AM,25,Superior,Intermediário,3478.98,M
55,PI,64,Fundamental,Básico,3333.66,M
56,AC,52,Médio,Avançado,4037.54,M
57,TO,31,Fundamental,Básico,2489.98,F
58,DF,34,Médio,Básico,2730.13,M
59,CE,53,Médio,Avançado,2021.24,F
60,PB,57,Pós-graduação,Avançado,2555.71,M
61,PI,21,Médio,Avançado,3377.3,M
62,SC,19,Médio,Avançado,3756.99,F
63,MT,23,Fundamental,Básico,2077.83,M
64,RN,59,Superior,Básico,3869.61,M
65,SC,21,Pós-graduação,Intermediário,4355.64,M
66,PB,46,Médio,Básico,3413.43,F
67,PR,35,Pós-graduação,Avançado,4876.8,F
68,DF,43,Fundamental,Intermediário,2226.21,M
69,RS,61,Médio,Avançado,1755.35,F
70,MA,51,Fundamental,Básico,1221.28,F
71,SE,27,Pós-graduação,Intermediário,4496.04,F
72,MS,53,Fundamental,Avançado,3654.37,M
73,SC,31,Pós-graduação,Intermediário,2944.42,F
74,PA,48,Fundamental,Intermediário,3279.97,M
75,SP,32,Pós-graduação,Básico,1874.51,M
76,BA,25,Superior,Avançado,5445.75,F
77,SE,31,Fundamental,Intermediário,3129.22,F
78,RS,40,Fundamental,Intermediário,3109.39,F
79,PI,57,Superior,Avançado,3725.77,F
80,BA,38,Superior,Intermediário,3481.01,F
81,AP,33,Fundamental,Intermediário,3223.88,M
82,RR,62,Superior,Intermediário,2209.53,M
83,SE,35,Médio,Avançado,3471.47,F
84,BA,64,Pós-graduação,Avançado,4882.02,F
85,SC,41,Pós-graduação,Avançado,4345.42,M
86,PE,43,Pós-graduação,Avançado,4593.19,F
87,RJ,42,Médio,Básico,2488.78,F
88,RJ,62,Superior,Intermediário,2010.4,M
89,SP,58,Superior,Avançado,2874.21,M
90,RS,46,Fundamental,Intermediário,3055.72,M
91,MS,32,Superior,Intermediário,4094.19,M
92,SP,62,Fundamental,Básico,1307.54,F
93,GO,18,Médio,Avançado,4529.55,M
94,AC,42,Pós-graduação,Avançado,2841.99,F
95,PI,24,Pós-graduação,Intermediário,2573.12,M
96,RS,26,Pós-graduação,Avançado,1987.9,F
97,AM,41,Superior,Intermediário,1345.14,F
98,MA,18,Fundamental,Intermediário,3823.17,M
99,SP,61,Fundamental,Básico,3073.32,F
100,DF,25,Médio,Básico,1710.04,M
101,RO,41,Superior,Básico,1704.92,M
102,RR,28,Médio,Intermediário,2664.22,F
103,AC,34,Fundamental,Avançado,4669.02,M
104,PE,25,Fundamental,Básico,2740.41,F
105,SC,52,Pós-graduação,Avançado,1496.86,M
106,AL,52,Superior,Básico,2754.26,F
107,SE,50,Fundamental,Básico,2727.28,M
108,MT,22,Pós-graduação,Intermediário,303.11,F
109,GO,59,Superior,Básico,2945.71,M
110,DF,56,Médio,Básico,2769.07,F
111,RO,58,Superior,Intermediário,3696.21,M
112,PE,45,Superior,Avançado,4848.96,M
113,PE,24,Fundamental,Básico,4126.57,F
114,AL,26,Fundamental,Intermediário,2731.11,F
115,CE,25,Superior,Básico,1893.47,F
116,PA,29,Fundamental,Intermediário,5573.36,F
117,CE,51,Fundamental,Avançado,3059.22,F
118,AL,50,Fundamental,Avançado,3013.93,F
119,AC,40,Pós-graduação,Intermediário,2975.87,F
120,MA,41,Pós-graduação,Intermediário,3198.08,M
121,RS,54,Superior,Intermediário,2855.64,F
122,BA,52,Fundamental,Avançado,2426.34,F
123,AL,61,Pós-graduação,Básico,2453.14,F
124,RO,57,Superior,Avançado,2967.25,M
125,PR,39,Fundamental,Intermediário,2456.58,M
126,SP,44,Médio,Intermediário,2287.15,F
127,AL,52,Fundamental,Avançado,3106.43,M
128,MA,18,Fundamental,Intermediário,2745.02,F
129,AL,52,Pós-graduação,Avançado,4503.99,F
130,PR,54,Superior,Intermediário,349.03,M
131,PR,64,Superior,Básico,4091.51,M
132,RJ,31,Pós-graduação,Básico,4246.09,F
133,DF,20,Fundamental,Intermediário,926.61,F
134,RO,18,Médio,Avançado,2657.31,F
135,MS,22,Fundamental,Básico,2628.56,F
136,SC,43,Fundamental,Avançado,1592.49,M
137,PB,31,Médio,Intermediário,2222.18,F
138,ES,56,Pós-graduação,Avançado,1889.42,M
139,CE,44,Superior,Básico,4752.27,M
140,TO,26,Pós-graduação,Avançado,3935.68,F
141,MA,32,Pós-graduação,Avançado,4271.56,M
142,AP,32,Fundamental,Intermediário,3721.67,M
143,RJ,43,Superior,Intermediário,1870.95,F
144,PE,59,Superior,Intermediário,2475.48,F
145,DF,30,Pós-graduação,Básico,3489.37,M
146,RS,49,Médio,Básico,1777.87,M
147,RN,56,Pós-graduação,Intermediário,3713.0,F
148,SE,49,Médio,Intermediário,2759.67,F
149,AM,21,Superior,Básico,2625.18,F
150,PA,47,Pós-graduação,Básico,3710.96,M
151,RN,54,Fundamental,Básico,3444.26,M
152,RO,40,Pós-graduação,Básico,2639.03,M
153,PB,56,Superior,Intermediário,4159.33,M
154,SC,62,Fundamental,Básico,1918.94,F
155,ES,32,Fundamental,Intermediário,3615.94,M
156,RS,60,Médio,Avançado,3593.1,M
157,PB,46,Fundamental,Avançado,2690.45,F
158,RO,53,Fundamental,Básico,3326.13,M
159,RN,30,Pós-graduação,Avançado,1748.89,F
160,PA,49,Superior,Avançado,3924.03,M
161,TO,24,Médio,Avançado,2815.1,M
162,GO,39,Pós-graduação,Básico,2477.28,F
163,ES,45,Fundamental,Básico,4049.01,M
164,SE,19,Fundamental,Avançado,2295.66,F
165,SE,59,Médio,Intermediário,1591.54,F
166,PE,62,Superior,Avançado,1443.37,M
167,AL,23,Médio,Básico,3606.01,M
168,SP,45,Pós-graduação,Básico,1719.57,F
169,SC,45,Médio,Básico,4754.79,M
170,AP,61,Fundamental,Avançado,918.07,M
171,ES,61,Pós-graduação,Intermediário,4696.46,F
172,MS,37,Fundamental,Básico,3211.02,M
173,AC,47,Superior,Básico,2903.29,F
174,MA,28,Fundamental,Avançado,2455.08,M
175,RN,45,Fundamental,Intermediário,3399.14,F
